B6101	作者幻雨 播音情深 
B610130	林晓鑫一德控制的灵力流动的速度 
B610131	好在经不断尝试对于自己经脉的承受力 他已经很清楚 
B610132	一个小时候做完了循环 
B610133	零零有经脉重新回归丹田 
B610134	用那是受检查了一下 
B610135	临夏的严重闪过一里 
B610136	已经这么努力了 
B610137	可惜我还是没有变 
B610138	按理说做一次大周天凌厉或多或少应该增加一点 
B610139	看来只好去练新路 
B610140	遴选一芽 
B610141	林心如是飘云谷种一个特别的所在 三千年前被本派祖师偶然发现经过考察确定是古修士留下来的遗迹 
B610142	那是一个很奇妙的地点 
B610143	只要进入里面就会被幻象曝光 
B610144	一会儿深处生活一会儿就十八层地狱 
B610145	虽然换一项并不会造成真正的伤害 
B610146	就让人苦不堪言 
B610147	不过好处也显而易见 
B610148	连云路虽然可怕 灯里面的灵气却十分充足 
B610149	在那里修行可以起到事半功倍的效果 
B610150	而且对本派弟子练新路是免费开放的 
B610151	可惜除了住几期以上的高手 灵动期的第一节地址根本就不敢尝试 
B610152	以他们的修为道心不稳根本承受不住换姓的亲戚 
B610153	但现在凌轩已没有别的路可走 
B610154	要么卡在瓶颈要么就练新路寻求突破 
B610156	同意开户中的石门林轩从电工厂找了出来 
B610157	此时天色已经全黑了 
B610158	星星屋里的咋治眼睛 
B610159	不过林雨轩并不打算休息想练新路而去 
B610160	平区云谷后山 
B610161	实际上一条斜斜的通道啊深不见底 
B610162	这就是练新路 
B610163	站在入口 林轩深深的吸了口气走了进去 
B610164	最初100米并没有幻想天地灵气的浓度也有外面一模一样 
B610165	但林璇丝毫不敢打 
B610166	虽然是第一次来 
B610167	但平时里没少听说练新路的可怕 
B610168	又走了几波情况着人发生变化 
B610169	周围的天地灵气变浓了起来 
B610170	这果然适合修炼 
B610171	林俊神色变得凝重起来 
B610172	仔细打量一下四周才小心翼翼地碰溪而坐 
B610174	低调 突然存起来涨虚构的火苗周围的温度骤然升高 
B610175	可怕的景象出现 林轩眉头微调没有黄若无睹一就一心一意的 周围的灵气 
B610176	林心如所发生的一切全都是幻觉 不用理会 
B610177	然而虽然明知是假可感觉就如同真的一样 
B610178	很快那火苗就将周围的气温升到了难以忍受的程度 
B610179	打的大滴的汗水从林轩的脸上的肉 
B610180	道听途说果然与切身感受完全不同 
B610181	以前领先只是听得见着机器的高手谈论连心如 
B610182	没想到比传说的还要恐怖 
B610183	很快火苗就烧到身上 
B610184	一场灵动基地一层的修为还无法放出护照只能咬牙苦苦忍受 
B610185	一边强忍着烈火焚身的痛苦一边还有集中精力吸哪天地灵气 
B610186	这其中的磨难是常人难以想象的 
B610187	不过林轩 凭着一股坚韧的毅力硬是成本 
B610188	和聊天室的几乎凌晨的牙齿咬的咯嘣咯嘣响 
B610189	疼痛的后面已经变得麻木 
B610190	不过这里领取去也是充足的那速度是外面的几倍 
B610191	虽然是幻觉但感受就像真正的炼狱 
B610193	江陵去吸纳的身体里仅仅是第一步 
B610194	然后还有按照师门所传授的秘法将他们一一量化 
B610195	这其中会有很多好事 
B610196	通常系那上百毫升的灵气 最后只能炼化出一根头发丝大小的灵力 
B610197	然后再将所得的灵力在其经把脉中运转 
B610198	最后储存到丹田 
B610199	就算是心志坚韧之人想要在烈火中完成整个过程也是不可能的 
B610200	林轩去了五分钟耐力就已经到了极限 
B610201	站起来拽住一块的速度跑了出去 
B610202	等他离开灵界充足的区域和烈火幻境也随意之消失了 
B610203	果然与传说中的一样 
B610204	临夏全身没有丝毫伤痕 
B610205	可刚才被烈火灼烧的痛苦还让他记忆犹新 
B610206	虽然难受但也值得 
B610207	因为这儿的灵力不仅能不够而且十分精准 
B610208	在这里修炼可以起到事半功倍的效果 
B610209	???
B610210	休息了一会儿 遴选有重新走上前 
B610211	火苗再一次浮现 
B610212	忍受着被灼烧的痛苦继续吸纳灵气 
B610213	等哪力到达极限的时候他就跑出去休息 
B610214	体力回复和再重新踏入烈火环境 
B610215	就这样周而复始林轩凭借着自己的毅力再练新路中努力修行 
B610216	十五天过去后 
B610217	他的灵力终于有了一些奖金 
B610218	虽然与付出的相比收获依然很少 
B610219	等于在外面修行相比要快得多 
B610220	找这个速度只要坚持应该可以进入灵动期第二层 
B610221	默默计算了一下自己修炼的进度 林宣站了 
B610222	他已经在练新路待了四天 
B610224	依然这几天不休不眠 在烈火中修炼 
B610225	自己已经到了极限 
B610226	二来今天是教学传授功法的时间 
B610227	按照飘云谷的规矩每四天会有一位住机器高手将灵动期弟子传教 
B610228	得到高手的指点修行可以少走很多弯路 
B610229	林轩自然是不会错过这样的机会的 
B610230	顺着通道林轩来到了外面 
B610231	与来时不同 正好遇见有野猪机器的修真者 
B610234	那人答应了一眼林璇 
B610236	你去了练新路 
B610237	是的是说 
B610238	两人分手以后那住几期的修士还有些发呆 虽然幻觉 不会造成真正的伤害 但感受却真实一模一样 
B610239	一个灵动出去的地址居然忍受的住 
B610240	此人的毅力还真是惊人 
B610241	修真除了灵根也需要心智坚韧 
